iter	RMSE
0	77367.52805
1	75326.3252
2	73458.44988
3	71520.12784
4	69691.18418
5	67939.82944
6	66187.92338
7	64713.58243
8	63320.97829
9	61922.32194
10	60606.4243
11	59416.50945
12	58157.70412
13	56966.60382
14	55849.92387
15	54896.72408
16	53882.06862
17	52923.10275
18	52009.68747
19	51193.10472
20	50458.40194
21	49683.42233
22	48951.47789
23	48277.43204
24	47587.81731
25	46915.86452
26	46295.23525
27	45777.49744
28	45245.58633
29	44739.59287
30	44222.19978
31	43748.57998
32	43344.18864
33	42851.71118
34	42329.00057
35	41861.54954
36	41464.59433
37	41106.22988
38	40708.57438
39	40360.49722
40	40027.5492
41	39756.71875
42	39443.69632
43	39094.23516
44	38816.56756
45	38546.32494
46	38303.09373
47	38031.26456
48	37746.16209
49	37532.16846
50	37328.99418
51	37113.69627
52	36881.98566
53	36700.36992
54	36503.99101
55	36279.29657
56	36105.49531
57	35929.04025
58	35688.69681
59	35479.84359
60	35279.0077
61	35076.36337
62	34887.53509
63	34721.73801
64	34548.00009
65	34426.72428
66	34234.72812
67	34107.79303
68	34004.05585
69	33832.42028
70	33724.361
71	33619.91008
72	33493.39343
73	33344.61743
74	33229.79454
75	33111.01786
76	33011.68943
77	32888.02725
78	32766.09813
79	32677.18996
80	32571.97682
81	32447.68424
82	32328.42379
83	32258.45453
84	32131.21951
85	32016.05097
86	31938.51761
87	31832.06755
88	31718.56159
89	31628.57064
90	31552.38151
91	31442.82905
92	31349.59525
93	31264.30746
94	31149.94577
95	31069.56294
96	30999.54401
97	30924.61456
98	30858.7871
99	30791.35972
100	30719.26086
101	30657.55023
102	30571.17792
103	30472.28898
104	30400.43774
105	30338.25072
106	30252.11091
107	30205.63576
108	30130.844
109	30056.68694
110	29993.09908
111	29921.50802
112	29864.19705
113	29800.36688
114	29731.4434
115	29704.14832
116	29653.65
117	29597.80638
118	29553.10404
119	29508.62491
120	29468.39909
121	29425.56336
122	29375.94451
123	29319.48246
124	29283.97479
125	29212.66468
126	29161.87798
127	29116.22106
128	29026.13879
129	28978.55581
130	28932.486
131	28855.87658
132	28819.8141
133	28751.33627
134	28714.07524
135	28650.57592
136	28585.25147
137	28549.74861
138	28500.35075
139	28456.8141
140	28430.79607
141	28380.12596
142	28322.95316
143	28269.77929
144	28247.26823
145	28181.58395
146	28148.72553
147	28105.88057
148	28045.32064
149	27971.17471
150	27926.41495
151	27891.15288
152	27839.23268
153	27807.40497
154	27739.08463
155	27685.8105
156	27655.98032
157	27615.24004
158	27572.74017
159	27516.76811
160	27465.93087
161	27425.55832
162	27374.03655
163	27343.79885
164	27303.40642
165	27277.4721
166	27244.10337
167	27183.55657
168	27158.49933
169	27119.71676
170	27081.47211
171	27023.83918
172	26976.87994
173	26945.17498
174	26926.00235
175	26873.39466
176	26842.03872
177	26798.92065
178	26782.88396
179	26755.56828
180	26719.6355
181	26702.83834
182	26667.07235
183	26636.26977
184	26624.99618
185	26584.64236
186	26553.8926
187	26523.28741
188	26496.66953
189	26445.38042
190	26386.40695
191	26343.72186
192	26330.7552
193	26290.71734
194	26262.25801
195	26205.5252
196	26160.90637
197	26133.39926
198	26103.65232
199	26070.11808
200	26052.79737
201	26004.48666
202	25955.64511
203	25924.79839
204	25878.06334
205	25843.39188
206	25827.01938
207	25804.25263
208	25774.1635
209	25686.09726
210	25613.94518
211	25581.40313
212	25554.56846
213	25503.10279
214	25452.77715
215	25436.83277
216	25411.0897
217	25373.18803
218	25290.65822
219	25271.33946
220	25196.55413
221	25143.76637
222	25115.75576
223	25105.59777
224	25075.63543
225	25033.63902
226	25015.56984
227	24968.52471
228	24933.83777
229	24904.57898
230	24855.61763
231	24816.75697
232	24778.83712
233	24733.01
234	24696.52088
235	24671.77168
236	24655.24583
237	24622.86039
238	24597.35512
239	24571.38529
240	24563.07083
241	24537.24043
242	24488.30163
243	24436.04648
244	24373.19086
245	24354.16753
246	24322.37304
247	24268.15628
248	24208.82828
249	24160.15469
250	24114.24951
251	24082.26862
252	24064.87957
253	24028.65966
254	23960.29071
255	23942.5302
256	23918.36888
257	23894.28492
258	23875.39024
259	23845.40294
260	23786.2374
261	23722.78564
262	23685.93084
263	23629.20577
264	23590.96229
265	23585.5809
266	23536.81813
267	23522.78342
268	23471.54598
269	23428.10899
270	23388.74935
271	23362.06633
272	23299.03775
273	23274.12024
274	23241.73229
275	23230.37113
276	23216.91373
277	23180.07818
278	23157.65834
279	23121.10721
280	23093.90395
281	23085.14071
282	23042.34187
283	23004.13444
284	22981.75685
285	22957.42734
286	22929.41914
287	22900.32457
288	22884.53806
289	22853.57479
290	22817.63743
291	22767.91048
292	22759.88465
293	22719.29958
294	22670.16797
295	22635.00528
296	22619.15181
297	22603.43723
298	22582.60223
299	22546.03679
300	22513.59275
301	22496.21063
302	22464.80358
303	22428.73692
304	22412.52371
305	22379.58062
306	22363.68684
307	22333.91343
308	22295.94066
309	22257.3114
310	22228.99521
311	22203.08579
312	22176.84766
313	22128.62629
314	22094.91488
315	22059.74848
316	22030.81886
317	21996.44616
318	21977.65566
319	21943.89471
320	21917.87933
321	21900.9349
322	21873.29963
323	21859.18316
324	21853.72528
325	21837.52396
326	21820.65861
327	21796.62724
328	21760.40653
329	21731.45924
330	21714.62939
331	21655.13687
332	21630.0066
333	21599.4927
334	21577.81104
335	21537.19258
336	21473.30612
337	21443.97774
338	21409.29919
339	21364.71353
340	21326.83479
341	21293.74229
342	21243.07733
343	21224.04536
344	21198.00347
345	21190.17783
346	21176.46647
347	21129.88233
348	21087.93115
349	21080.96351
350	21056.14232
351	21022.89799
352	21004.14537
353	20995.6814
354	20953.28877
355	20919.10487
356	20903.00119
357	20873.73397
358	20846.56575
359	20815.71509
360	20798.64137
361	20753.53954
362	20729.05338
363	20703.16798
364	20677.97633
365	20646.47251
366	20623.26494
367	20574.67602
368	20528.73865
369	20489.81338
370	20461.50955
371	20457.01117
372	20416.6422
373	20400.16111
374	20372.67652
375	20352.28491
376	20345.72479
377	20318.59504
378	20295.32509
379	20244.50636
380	20233.34131
381	20221.57724
382	20200.82031
383	20168.55644
384	20152.73049
385	20106.56951
386	20083.02369
387	20063.27976
388	20044.36386
389	20008.64819
390	19970.39225
391	19939.47128
392	19907.00049
393	19878.90702
394	19844.31637
395	19820.62735
396	19792.27984
397	19760.33902
398	19724.97867
399	19715.76732
400	19686.69841
401	19667.17863
402	19649.89753
403	19634.23334
404	19593.18001
405	19579.66878
406	19556.48415
407	19525.78846
408	19507.77701
409	19487.8774
410	19463.19911
411	19433.52139
412	19381.92855
413	19338.23843
414	19329.52638
415	19297.47195
416	19275.87729
417	19246.08531
418	19226.19496
419	19221.64876
420	19204.16966
421	19170.98469
422	19150.83933
423	19122.03242
424	19111.48424
425	19092.62052
426	19061.34357
427	19051.33015
428	19030.256
429	19006.73637
430	19002.4665
431	18958.63245
432	18931.94536
433	18901.15075
434	18870.04693
435	18861.28605
436	18828.30104
437	18804.8696
438	18791.72999
439	18764.44493
440	18723.57381
441	18697.52225
442	18673.40486
443	18650.2779
444	18632.63311
445	18596.03426
446	18570.23096
447	18544.27028
448	18530.79712
449	18521.40632
450	18480.20144
451	18447.7964
452	18429.23767
453	18415.11437
