iter	Passed	Remaining
0	2	2173
1	4	2487
2	6	2121
3	7	1989
4	9	1881
5	10	1792
6	12	1732
7	13	1719
8	15	1663
9	16	1639
10	17	1598
11	19	1589
12	20	1575
13	22	1554
14	23	1533
15	24	1523
16	26	1524
17	27	1517
18	29	1510
19	30	1493
20	31	1487
21	33	1483
22	34	1478
23	36	1475
24	37	1470
25	39	1466
26	40	1461
27	41	1457
28	43	1447
29	44	1444
30	45	1435
31	47	1432
32	48	1425
33	50	1421
34	51	1415
35	52	1412
36	54	1410
37	55	1408
38	57	1406
39	58	1399
40	59	1397
41	61	1396
42	62	1395
43	64	1393
44	65	1390
45	66	1389
46	68	1385
47	69	1383
48	71	1382
49	72	1379
50	74	1378
51	75	1376
52	76	1375
53	78	1373
54	79	1374
55	81	1372
56	82	1370
57	84	1369
58	85	1365
59	87	1363
60	88	1361
61	89	1359
62	91	1356
63	92	1355
64	94	1359
65	95	1357
66	97	1355
67	98	1353
68	100	1351
69	101	1351
70	102	1346
71	104	1342
72	105	1341
73	107	1341
74	108	1339
75	110	1337
76	111	1336
77	112	1332
78	114	1330
79	115	1332
80	117	1330
81	118	1328
82	120	1327
83	121	1325
84	122	1323
85	124	1322
86	125	1321
87	127	1320
88	128	1318
89	130	1314
90	131	1313
91	132	1311
92	134	1310
93	135	1308
94	137	1310
95	139	1309
96	140	1307
97	141	1304
98	143	1302
99	144	1299
100	145	1297
101	147	1298
102	148	1296
103	150	1293
104	151	1291
105	152	1289
106	154	1288
107	155	1286
108	157	1285
109	158	1283
110	160	1282
111	161	1280
112	163	1280
113	164	1280
114	166	1279
115	167	1278
116	169	1277
117	170	1276
118	172	1275
119	173	1274
120	175	1273
121	176	1271
122	178	1271
123	179	1268
124	180	1266
125	182	1263
126	183	1262
127	185	1261
128	186	1259
129	187	1257
130	190	1260
131	191	1259
132	193	1258
133	194	1257
134	196	1256
135	197	1255
136	198	1252
137	200	1251
138	201	1249
139	203	1250
140	205	1248
141	206	1246
142	207	1245
143	209	1243
144	210	1241
145	212	1240
146	213	1239
147	215	1237
148	216	1236
149	217	1235
150	219	1234
151	220	1231
152	222	1230
153	223	1229
154	225	1227
155	226	1225
156	227	1224
157	229	1223
158	231	1222
159	232	1223
160	234	1220
161	235	1219
162	237	1217
163	238	1215
164	239	1213
165	241	1212
166	242	1211
167	244	1211
168	245	1209
169	247	1207
170	248	1206
171	250	1205
172	251	1203
173	253	1201
174	254	1199
175	255	1198
176	257	1197
177	258	1196
178	260	1193
179	261	1192
180	263	1190
181	264	1189
182	266	1188
183	267	1186
184	269	1185
185	270	1183
186	271	1181
187	273	1180
188	274	1179
189	276	1178
190	277	1176
191	279	1174
192	280	1173
193	282	1172
194	283	1170
195	285	1169
196	286	1168
197	288	1167
198	289	1165
199	291	1167
200	293	1165
201	294	1164
202	296	1162
203	297	1162
204	299	1160
205	300	1159
206	302	1158
207	303	1156
208	305	1154
209	306	1152
210	307	1151
211	309	1150
212	310	1148
213	312	1147
214	313	1145
215	315	1144
216	316	1143
217	318	1141
218	319	1140
219	322	1142
220	323	1140
221	324	1138
222	326	1139
223	328	1137
224	329	1134
225	331	1135
226	332	1133
227	334	1131
228	335	1130
229	337	1128
230	338	1127
231	340	1125
232	341	1124
233	342	1122
234	344	1121
235	345	1119
236	347	1117
237	348	1116
238	350	1114
239	351	1113
240	353	1114
241	355	1112
242	356	1110
243	357	1108
244	359	1107
245	360	1105
246	362	1104
247	363	1102
248	365	1101
249	366	1099
250	368	1098
251	369	1096
252	370	1094
253	372	1093
254	373	1091
255	375	1090
256	376	1088
257	378	1087
258	379	1085
259	380	1083
260	382	1083
261	384	1081
262	385	1079
263	386	1077
264	387	1075
265	389	1074
266	390	1072
267	391	1070
268	393	1069
269	394	1067
270	396	1066
271	397	1064
272	399	1062
273	400	1061
274	401	1059
275	403	1057
276	404	1055
277	406	1054
278	407	1053
279	408	1051
280	410	1050
281	411	1048
282	412	1046
283	414	1044
284	416	1043
285	417	1042
286	418	1040
287	420	1039
288	421	1037
289	423	1036
290	424	1034
291	425	1032
292	427	1030
293	428	1029
294	429	1027
295	431	1025
296	432	1023
297	433	1022
298	435	1020
299	436	1019
300	438	1017
301	439	1016
302	441	1014
303	442	1013
304	443	1011
305	445	1009
306	446	1008
307	448	1006
308	449	1005
309	451	1003
310	452	1002
311	453	1000
312	455	999
313	456	997
314	457	995
315	459	994
316	460	993
317	462	992
318	464	990
319	465	989
320	466	987
321	468	985
322	469	984
323	471	982
324	472	981
325	473	979
326	475	978
327	476	976
328	477	974
329	479	972
330	480	971
331	481	969
332	483	968
333	484	966
334	486	965
335	487	963
336	489	962
337	491	961
338	492	960
339	494	959
340	495	957
341	496	956
342	498	954
343	499	953
344	501	951
345	502	950
346	504	948
347	505	947
348	507	945
349	509	945
350	510	943
351	511	942
352	513	940
353	514	939
354	516	938
355	518	937
356	519	935
357	521	934
358	522	932
359	524	931
360	525	930
361	526	928
362	528	926
363	529	925
364	530	923
365	532	921
366	533	920
367	534	918
368	535	916
369	537	915
370	539	913
371	540	912
372	541	910
373	543	909
374	544	908
375	546	906
376	547	904
377	549	903
378	550	901
379	551	900
380	553	898
381	554	897
382	556	895
383	557	894
384	558	892
385	560	891
386	561	889
387	562	887
388	564	886
389	565	884
390	567	883
391	568	881
392	569	880
393	571	879
394	572	877
395	574	875
396	575	874
397	577	872
398	578	871
399	579	869
400	581	868
401	582	866
402	584	865
403	585	863
404	586	862
405	588	860
406	589	859
407	591	858
408	592	856
409	594	854
410	595	853
411	596	851
412	598	850
413	599	849
414	601	847
415	602	846
416	604	844
417	605	843
418	606	841
419	608	840
420	609	838
421	611	837
422	612	835
423	614	834
424	615	832
425	616	831
426	618	829
