iter	MAE	RMSE
0	390.7456611	393.4487794
1	379.0318403	381.8177768
2	367.6696843	370.4588059
3	356.6519842	359.451714444	345.9668799	348.7603545	5	335.6026184	338.42036	326	325.5457632	328.43657	317	315.793233	318.767098	38	306.328205	309.3564699	9	297.1475495	300.1814861010	288.2440946	291.3090951111	279.6095622	282.6800811212	271.2342974	274.2945741313	263.1107451	266.2017591414	255.2292594	258.3253721515	247.5804187	250.77015
16	240.1641754	243.3611231717	232.9743873	236.173606118	225.989403	229.2162638
19	219.2173934	222.4634406
20	212.651554	215.8883545
21	206.281199	209.532979
22	200.1024047	203.363353
23	194.1104752	197.3879521
24	188.2908866	191.6675317
25	182.6514548	186.0270287
26	177.1757036	180.5768734
27	171.8650912	175.3690164
28	166.7174101	170.2355446
29	161.7232071	165.3414886
30	156.8762461	160.528326
31	152.1758332	155.8314487
32	147.6150765	151.2868149
33	143.1944877	146.8813931
34	138.9035123	142.633033
35	134.7413302	138.5734169
36	130.7034395	134.5518317
37	126.7897366	130.6926209
38	122.9919338	126.9117223
39	119.3075287	123.2582039
40	115.7340793	119.7247157
41	112.2698842	116.3159589
42	108.9107254	112.9897213443	105.6527717	109.7620786444	102.491556	106.6250881
45	99.42783217	103.5926423
46	96.45768822	100.6597928
47	93.57891598	97.78847079
48	90.78798945	95.02673385449	88.08124118	92.35893798550	85.46032219	89.74682574551	82.92269166	87.2376885252	80.45840657	84.77467215353	78.07954555	82.42825175454	75.77187096	80.14544035555	73.53293122	77.91686255656	71.36614665	75.77125335757	69.27305083	73.70809858	58	67.24848121	71.677859	6559	65.28446929	69.725360	6360	63.38333895	67.849861	6161	61.54865517	66.015162	562	59.7751098	64.2631976363	58.06078115	62.52593946464	56.41158868	60.87417316565	54.80211088	59.24952846666	53.25327825	57.69564536767	51.76822136	56.20079266868	50.33176735	54.75371969	69	48.92248922	53.31406170	70	47.57254186	51.94045271	71	46.27539079	50.62120072	72	45.00627415	49.31741473	73	43.7896193	48.08125387474	42.60027271	46.88748097575	41.47085206	45.73197757676	40.36691235	44.61021127777	39.29118811	43.50560867878	38.26071725	42.46313587979	37.27081684	41.46954180	80	36.305762	40.49368599881	35.38594545	39.53695562882	34.49651372	38.61250838383	33.62556458	37.72209978484	32.78384089	36.84983418585	31.97980274	36.0215619886	31.1825876	35.20655052887	30.43068855	34.44004025888	29.69539488	33.68723742889	28.98015134	32.95195687990	28.31317633	32.27454552991	27.67639486	31.61968826992	27.04808619	30.97648682993	26.4467035	30.35472913
94	25.8686343	29.75798896
95	25.29906017	29.16426535
96	24.76413652	28.60577
97	24.24727871	28.07046327
98	23.74733072	27.54584123
99	23.27611602	27.054582
100	22.80901973	26.57487412
101	22.36674435	26.11334585
102	21.9570515	25.69103681
103	21.54956683	25.26600122
104	21.15063092	24.85665841
105	20.76699026	24.45504667
106	20.39935058	24.07118595
107	20.03959291	23.70082421
108	19.69970813	23.35217062
109	19.36646517	23.01015926
110	19.04446421	22.67763179
111	18.74543679	22.37071265
112	18.45512421	22.07255054
113	18.17343883	21.78333382
114	17.90506596	21.50844297
115	17.64722976	21.24438849
116	17.39489062	20.98674598
117	17.15491282	20.74123088
118	16.92866139	20.50989813
119	16.70638252	20.28807385
120	16.48602745	20.06824288
121	16.29980931	19.87976539
122	16.10163908	19.68073319
123	15.91238846	19.48995325
124	15.73601487	19.31125149
125	15.56218598	19.14223935
126	15.38811973	18.96494597
127	15.2250798	18.80494853
128	15.07576448	18.65847512
129	14.92784554	18.51411722
130	14.78833473	18.37220408
131	14.6510452	18.23437018
132	14.52521737	18.10882784
133	14.39229889	17.97605289
134	14.26627943	17.85346694
135	14.14506503	17.735341721136	14.03230482	17.625440331137	13.92144404	17.518517113138	13.8136199	17.413873061139	13.71052014	17.312467140140	13.617885	17.222756211141	13.52963166	17.137435721142	13.4407463	17.04385949
143	13.3564502	16.95922027
144	13.28139837	16.88806005
145	13.19931	16.80679015
146	13.12645974	16.73735023
147	13.05276805	16.66760153
148	12.98049659	16.59067919
149	12.91670884	16.52928193
150	12.8514607	16.46828083
151	12.78795422	16.40300523
152	12.72612313	16.34304416
153	12.66940723	16.2839406
154	12.61116097	16.22846269
155	12.55553882	16.17578635
156	12.50174705	16.12499493
157	12.4518431	16.07870452
158	12.40186387	16.0330674
159	12.35493199	15.97669569
160	12.30626255	15.93029697
161	12.26186887	15.88970569
162	12.22138953	15.84811261
163	12.17993855	15.79944708
164	12.1382768	15.76154858
165	12.10061323	15.723301
166	12.06275446	15.68888493
167	12.02976365	15.65942822
168	11.99524931	15.6200794
169	11.96048753	15.58253314
170	11.93290684	15.55589064
171	11.90396402	15.52443302
172	11.87389177	15.49613851
173	11.84456376	15.46997309
174	11.81949185	15.44709035
175	11.79552666	15.42435725
176	11.76779706	15.3966071
177	11.7419256	15.37160308
178	11.71702298	15.34762405
179	11.69234418	15.32411514
180	11.66651548	15.28834808
181	11.64288295	15.26681065
182	11.62234894	15.24851427
183	11.60100449	15.22798049
184	11.57697097	15.19757328
185	11.55344537	15.16773735
186	11.52891328	15.13766983
187	11.51084006	15.11938879
188	11.48862099	15.0955872
189	11.47014748	15.0789154
190	11.4523022	15.06088212
191	11.43408847	15.04265792
192	11.4162519	15.02616923
193	11.39927511	15.01121778
194	11.37967408	14.98616085
195	11.36162096	14.9642895
196	11.34808265	14.94826332
197	11.33286462	14.93139382
198	11.31859324	14.9182265
199	11.30490693	14.90052221
200	11.29383081	14.88991493
201	11.27913887	14.87317417
202	11.26382557	14.85957577
203	11.25299084	14.84943912
204	11.24178421	14.8390748
205	11.23063235	14.82592392
206	11.21741521	14.81079904
207	11.20879686	14.80153051
208	11.20070498	14.7926139
209	11.18968908	14.78254201
210	11.17629322	14.76531561
211	11.15897599	14.73977528
212	11.14878769	14.72677215
213	11.13487318	14.71290264
214	11.12324128	14.7007778
215	11.11252729	14.69067314
216	11.10481024	14.68145409
217	11.092956	14.66592433
218	11.08175778	14.65221617
219	11.07279208	14.64302691
220	11.06006858	14.62929939
221	11.05304001	14.62243365
222	11.04506154	14.61427031
223	11.03168888	14.59651041
224	11.01751346	14.57726711
225	11.00819536	14.56718625
226	11.00118423	14.56045209
227	10.98624354	14.54020154
228	10.97474992	14.5266739
229	10.96881424	14.51905762
230	10.95744778	14.50652889
231	10.94671905	14.49576861
232	10.9412609	14.49030543
233	10.92266678	14.46266011
234	10.91539842	14.45398129
235	10.90970794	14.44698898
236	10.89725227	14.42835001
237	10.88859689	14.41855151
238	10.8790252	14.40906512
239	10.87416393	14.40313612
240	10.86390806	14.38764557
241	10.85542454	14.37656697
242	10.84925165	14.36948773
243	10.83126092	14.34246148
244	10.82465705	14.33485675
245	10.8182525	14.32820863
246	10.81047145	14.32084964
247	10.80503258	14.31359293
248	10.79522645	14.30261194
249	10.78799116	14.29521445
250	10.78200481	14.28868299
251	10.77386959	14.28014317
252	10.76730833	14.27308372
253	10.76405101	14.26948544
254	10.75330042	14.25421377
255	10.7468026	14.24544575
256	10.73455942	14.22749908
257	10.72373261	14.21396816
258	10.72029273	14.21002548
259	10.71330833	14.2029607
260	10.70868361	14.19725713
261	10.70338906	14.19130921
262	10.6983512	14.18458861
263	10.68211059	14.15920388
264	10.67479049	14.1485793
265	10.66801813	14.14040313
266	10.662225	14.13396368
267	10.65670434	14.12802189
268	10.64319788	14.10742651
269	10.63833952	14.10209147
270	10.63327486	14.09729187
271	10.62792254	14.09146912
272	10.62470029	14.08824204
