iter	Passed	Remaining
0	304	364696
1	542	324698
2	790	315390
3	1042	311630
4	1298	310393
5	1542	306917
6	1793	305635
7	2043	304471
8	2297	304075
9	2547	303137
10	2798	302438
11	3047	301695
12	3314	302647
13	3573	302712
14	3841	303492
15	4106	303848
16	4364	303746
17	4629	303997
18	4931	306517
19	5202	306974
20	5447	305841
21	5693	304880
22	6011	307649
23	6270	307248
24	6501	305567
25	6704	302739
26	6920	300666
27	7132	298554
28	7389	298364
29	7655	298547
30	7909	298266
31	8169	298190
32	8425	297943
33	8654	296813
34	8884	295738
35	9123	295006
36	9354	294029
37	9587	293185
38	9818	292300
39	10056	291651
40	10287	290808
41	10541	290657
42	10773	289870
43	10970	288219
44	11197	287409
45	11458	287467
46	11719	287489
47	11981	287564
48	12231	287317
49	12475	286941
50	12722	286635
51	12993	286855
52	13227	286261
53	13463	285718
54	13698	285170
55	13925	284484
56	14159	283934
57	14389	283327
58	14626	282854
59	14855	282262
60	15093	281833
61	15329	281367
62	15558	280800
63	15795	280377
64	16028	279873
65	16296	279995
66	16492	278888
67	16742	278718
68	17007	278775
69	17266	278737
70	17530	278764
71	17789	278695
72	18053	278720
73	18323	278819
74	18558	278378
75	18787	277851
76	19042	277723
77	19261	277072
78	19492	276598
79	19689	275646
80	19904	274974
81	20122	274358
82	20329	273586
83	20581	273441
84	20790	272728
85	20996	271977
86	21226	271558
87	21442	270955
88	21753	271550
89	22017	271553
90	22269	271397
91	22506	271053
92	22748	270776
93	23001	270630
94	23240	270321
95	23506	270328
96	23756	270135
97	23995	269828
98	24226	269425
99	24460	269068
100	24699	268757
101	24941	268489
102	25187	268262
103	25425	267950
104	25665	267651
105	25903	267344
106	26139	267016
107	26375	266686
108	26607	266317
109	26839	265958
110	27071	265592
111	27308	265280
112	27547	264990
113	27787	264714
114	28028	264442
115	28251	264001
116	28484	263660
117	28717	263322
118	28949	262975
119	29159	262435
120	29386	262050
121	29628	261801
122	29868	261535
123	30104	261227
124	30337	260902
125	30578	260647
126	30814	260347
127	31049	260036
128	31303	259894
129	31538	259588
130	31767	259229
131	31996	258880
132	32229	258561
133	32447	258124
134	32848	259134
135	33259	260209
136	33666	261220
137	34008	261714
138	34196	261024
139	34446	260811
140	34710	260701
141	34968	260537
142	35225	260372
143	35484	260218
144	35743	260061
145	36045	260219
146	36356	260429
147	36666	260632
148	36933	260515
149	37320	261241
150	37757	262301
151	38122	262845
152	38365	262539
153	38605	262218
154	38839	261854
155	39073	261492
156	39329	261278
157	39581	261035
158	39841	260852
159	40091	260594
160	40340	260334
161	40586	260052
162	40827	259746
163	41082	259518
164	41335	259288
165	41578	258990
166	41826	258725
167	42076	258467
168	42323	258200
169	42572	257940
170	42824	257698
171	43072	257436
172	43320	257171
173	43567	256898
174	43820	256664
175	44068	256400
176	44306	256075
177	44570	255904
178	44815	255624
179	45061	255349
180	45312	255100
181	45549	254774
182	45789	254470
183	46001	254007
184	46236	253674
185	46441	253179
186	46705	253006
187	46931	252630
188	47183	252393
189	47437	252167
190	47679	251878
191	47931	251638
192	48168	251324
193	48399	250977
194	48604	250501
195	48852	250244
196	49086	249917
197	49321	249597
198	49549	249243
199	49774	248873
200	50008	248549
201	50241	248224
202	50476	247908
203	50709	247581
204	50940	247246
205	51165	246886
206	51399	246566
207	51613	246156
208	51829	245756
209	52049	245377
210	52286	245077
211	52516	244745
212	52781	244578
213	53048	244419
214	53325	244305
215	53605	244203
216	53887	244107
217	54130	243834
218	54387	243624
219	54647	243429
220	54914	243265
221	55165	243025
222	55398	242708
223	55641	242436
224	55878	242139
225	56104	241797
226	56335	241473
227	56576	241193
228	56812	240893
229	57048	240594
230	57282	240289
231	57516	239980
232	57746	239660
233	57996	239422
234	58250	239200
235	58505	238981
236	58743	238693
237	58962	238325
238	59162	237886
239	59429	237718
240	59676	237468
241	59929	237241
242	60172	236974
243	60403	236664
244	60648	236406
245	60923	236266
246	61144	235912
247	61371	235587
248	61587	235218
249	61798	234835
250	62013	234467
251	62273	234268
252	62492	233912
253	62696	233506
254	62952	233295
255	63215	233107
256	63480	232925
257	63761	232804
258	64017	232588
259	64225	232199
260	64439	231832
261	64660	231495
262	64870	231118
263	65061	230671
264	65249	230221
265	65441	229784
266	65613	229279
267	65816	228882
268	66069	228663
269	66364	228589
270	66707	228676
271	67032	228698
272	67285	228476
273	67531	228227
274	67749	227883
275	67986	227608
276	68219	227315
277	68460	227053
278	68662	226660
279	68856	226243
280	69081	225927
281	69385	225871
282	69595	225509
283	69808	225156
284	69999	224734
285	70197	224338
286	70393	223934
287	70621	223636
288	70839	223303
289	71046	222940
290	71268	222622
291	71454	222193
292	71662	221835
293	71960	221755
294	72182	221440
295	72363	221002
296	72544	220563
297	72769	220262
298	73021	220040
299	73208	219626
300	73447	219365
301	73775	219373
302	74162	219549
303	74451	219437
304	74695	219187
305	74946	218962
306	75258	218911
307	75604	218959
308	75868	218765
309	76063	218376
310	76375	218321
311	76603	218025
312	76806	217658
313	77071	217468
314	77253	217045
315	77449	216661
316	77659	216319
317	77876	215996
318	78088	215660
319	78276	215260
320	78519	215010
321	78701	214596
322	78870	214145
323	79054	213740
324	79266	213408
325	79487	213103
326	79656	212661
327	79898	212414
328	80152	212197
329	80392	211944
330	80655	211751
331	80983	211727
332	81152	211288
333	81308	210818
334	81460	210339
335	81623	209888
336	81826	209544
337	82013	209159
338	82207	208793
339	82344	208283
340	82527	207891
341	82732	207558
342	82954	207265
343	83220	207084
344	83490	206911
345	83790	206813
346	84058	206633
347	84315	206427
348	84553	206175
349	84747	205814
350	84979	205547
351	85196	205246
352	85420	204961
353	85651	204691
354	85834	204310
355	86036	203974
356	86221	203597
357	86444	203313
358	86694	203091
359	86899	202765
360	87096	202421
361	87272	202027
362	87455	201653
363	87637	201277
364	87879	201040
365	88116	200790
366	88418	200687
367	88768	200694
368	88935	200285
369	89132	199946
370	89322	199592
371	89508	199227
372	89747	198984
373	90022	198819
374	90286	198630
375	90595	198538
376	90779	198174
377	90959	197800
378	91134	197418
379	91394	197218
380	91613	196933
381	91829	196640
382	92007	196267
383	92173	195869
384	92342	195477
385	92513	195093
386	92704	194750
387	92874	194365
388	93066	194029
389	93235	193641
390	93411	193274
391	93612	192957
392	93769	192550
393	93938	192169
394	94114	191802
395	94271	191400
396	94456	191054
397	94618	190664
398	94815	190344
399	94969	189938
400	95149	189587
401	95322	189221
402	95508	188883
403	95680	188518
404	95878	188205
405	96076	187893
406	96228	187492
407	96413	187155
408	96562	186749
409	96768	186456
410	96915	186050
411	97105	185725
412	97259	185334
413	97425	184966
414	97590	184599
415	97776	184271
416	97964	183946
417	98139	183600
418	98336	183296
419	98490	182910
420	98628	182497
421	98824	182193
422	98957	181773
423	99148	181461
424	99338	181146
425	99579	180926
426	99816	180699
427	100030	180428
428	100247	180164
429	100433	179845
430	100619	179528
431	100812	179222
432	100984	178879
433	101169	178561
434	101353	178242
435	101532	177913
436	101690	177550
437	101841	177176
438	102016	176843
439	102178	176490
440	102320	176102
441	102491	175765
442	102651	175410
443	102829	175088
444	103045	174829
445	103205	174477
446	103375	174141
447	103548	173813
448	103709	173464
449	103888	173147
450	104061	172821
451	104252	172524
452	104422	172193
453	104582	171847
454	104720	171464
455	104880	171121
456	105053	170797
457	105244	170505
458	105411	170173
459	105595	169871
460	105741	169507
461	105918	169194
462	106072	168845
463	106226	168497
464	106412	168200
465	106551	167829
466	106736	167532
467	106890	167187
468	107069	166881
469	107241	166566
470	107415	166254
471	107581	165930
472	107772	165645
473	107913	165285
474	108087	164975
475	108257	164660
476	108423	164339
477	108600	164036
478	108779	163736
479	108950	163425
480	109120	163114
481	109272	162774
482	109451	162477
483	109627	162176
484	109787	161851
485	109950	161532
486	110124	161229
487	110326	160968
488	110503	160671
489	110675	160366
490	110825	160031
491	110987	159713
492	111148	159395
493	111272	159025
494	111438	158715
495	111626	158437
496	111797	158136
497	111956	157818
498	112115	157501
499	112298	157217
500	112474	156925
501	112632	156608
502	112818	156331
503	112989	156033
504	113164	155741
505	113339	155449
506	113523	155171
507	113697	154878
508	113872	154588
509	114062	154320
510	114232	154023
511	114369	153684
512	114526	153371
513	114692	153072
514	114887	152812
515	115027	152478
516	115198	152187
517	115389	151921
518	115548	151615
519	115715	151320
520	115876	151018
521	116050	150732
522	116216	150436
523	116401	150166
524	116578	149886
525	116734	149579
526	116899	149285
527	117036	148955
528	117179	148633
529	117350	148348
530	117522	148064
531	117665	147744
532	117871	147505
533	118056	147239
534	118224	146951
535	118399	146673
536	118562	146381
537	118709	146069
538	118865	145770
539	119026	145476
540	119210	145212
541	119383	144934
542	119525	144619
543	119689	144331
544	119868	144061
545	120006	143744
546	120174	143462
547	120322	143157
548	120478	142862
549	120654	142591
550	120844	142337
551	121010	142055
552	121174	141772
553	121330	141479
554	121495	141197
555	121656	140911
556	121813	140621
557	121966	140327
558	122152	140071
559	122330	139805
560	122474	139502
561	122642	139227
562	122833	138978
563	123006	138709
564	123169	138429
565	123343	138162
566	123503	137879
567	123696	137633
568	123897	137397
569	124082	137144
570	124245	136865
571	124408	136588
572	124597	136339
573	124756	136058
574	124924	135787
575	125071	135493
576	125244	135229
577	125383	134928
578	125560	134669
579	125746	134419
580	125887	134121
581	126058	133856
582	126225	133586
583	126429	133357
584	126590	133082
