iter	MAE	RMSE
0	36.95061958	45.36296303
1	36.22492382	44.5527494
2	35.47717647	43.69012935
3	34.77556779	42.94365968
4	34.01468304	42.08200335
5	33.34447642	41.32552884
6	32.77356154	40.67954233
7	32.12281548	39.92383408
8	31.5232462	39.26793551
9	30.90819687	38.55771955
10	30.47011768	38.08265942
11	29.95136659	37.51826386
12	29.43669864	36.89680919
13	28.92057609	36.27600003
14	28.40574765	35.65944776
15	27.94713847	35.15793388
16	27.60630124	34.78379151
17	27.155757	34.26540355
18	26.78486233	33.82698568
19	26.33479517	33.28574827
20	25.95774002	32.84005876
21	25.60320188	32.43373333
22	25.22510755	31.99154152
23	24.94787698	31.6677031
24	24.61516033	31.25458193
25	24.37306413	30.93478709
26	24.01900184	30.49256322
27	23.77960132	30.22422285
28	23.52252094	29.92614181
29	23.24565722	29.59764757
30	22.90703733	29.18041648
31	22.62842351	28.84634909
32	22.40186183	28.58176625
33	22.11939027	28.21298123
34	21.9256098	27.95208187
35	21.67810497	27.64252001
36	21.41018985	27.3187744
37	21.21830928	27.09767516
38	21.00821911	26.85218771
39	20.87802842	26.67750191
40	20.65820652	26.41137336
41	20.47638915	26.18514752
42	20.30162952	25.96286356
43	20.06853196	25.66881039
44	19.84929255	25.38894764
45	19.70048433	25.19943824
46	19.5781031	25.04159709
47	19.41226816	24.84182656
48	19.29697619	24.69492962
49	19.14514608	24.4971293
50	18.97723876	24.29371631
51	18.80685061	24.09545362
52	18.67711486	23.93030424
53	18.55260984	23.76447712
54	18.4026279	23.57608685
55	18.23273167	23.35656858
56	18.11715051	23.21417116
57	17.99869376	23.06514907
58	17.91725405	22.96825
59	17.73521116	22.74594075
60	17.56110257	22.53570103
61	17.40987346	22.34716604
62	17.29158218	22.20603994
63	17.15419	22.0409498
64	16.9995003	21.85558796
65	16.88366202	21.70433712
66	16.75364576	21.54734812
67	16.63550238	21.40025876
68	16.52268499	21.26198976
69	16.38353429	21.09192485
70	16.26710352	20.95356042
71	16.1732474	20.84882383
72	16.06858281	20.71697568
73	15.98624265	20.61424327
74	15.87314567	20.47592132
75	15.76651108	20.34902879
76	15.64656343	20.19981086
77	15.57468368	20.10604949
78	15.47882177	19.98517952
79	15.37616023	19.86981688
80	15.28102254	19.75343574
81	15.20409816	19.64959191
82	15.12906924	19.56754959
83	15.01231615	19.42756681
84	14.9361375	19.33677657
85	14.83977844	19.22014363
86	14.74269291	19.10527987
87	14.66523954	19.01417533
88	14.59210201	18.92172935
89	14.51455976	18.82641464
90	14.44954072	18.7429549
91	14.36452127	18.64246081
92	14.30188811	18.57207266
93	14.2351637	18.49366462
94	14.1559707	18.396732
95	14.08475724	18.31127937
96	14.01324277	18.23420755
97	13.93596481	18.14259158
98	13.8643773	18.06421302
99	13.79204951	17.97778452
100	13.7236607	17.89445043
101	13.66168576	17.82705341
102	13.59825025	17.74985529
103	13.54482126	17.68321231
104	13.48200582	17.60896281
105	13.43199596	17.54668683
106	13.38228979	17.49174974
107	13.3270803	17.42339488
108	13.2770135	17.35795696
109	13.21813814	17.28909033
110	13.16135128	17.22247787
111	13.11943987	17.1727643
112	13.06617439	17.10758563
113	13.01143411	17.04703753
114	12.96848394	16.99939873
115	12.91598674	16.93872318
116	12.87398114	16.87941287
117	12.83699089	16.82796131
118	12.79404632	16.77595019
119	12.74894245	16.71886612
120	12.70562379	16.66876795
121	12.6696121	16.62746557
122	12.62644706	16.5781972
123	12.58714155	16.5325403
124	12.54952198	16.49062497
125	12.51188144	16.44643213
126	12.47434549	16.40629147
127	12.43844081	16.36367997
128	12.4037155	16.32629005
129	12.36935789	16.28721275
130	12.33564748	16.24133901
131	12.30195886	16.20317153
132	12.271387	16.16269279
133	12.2449892	16.12729665
134	12.21707139	16.09353854
135	12.18475078	16.0584302
136	12.15771415	16.02720202
137	12.13380302	16.00054019
138	12.10717462	15.96328262
139	12.07797002	15.93210923
140	12.05256008	15.90278738
141	12.0270648	15.87247148
142	12.00311166	15.84600982
143	11.9768962	15.81190973
144	11.95363453	15.78225805
145	11.92922226	15.75446425
146	11.90464165	15.72166991
147	11.88174537	15.69591978
148	11.85951901	15.66522611
149	11.83665193	15.63914301
150	11.81394301	15.61036626
151	11.79106153	15.58548797
152	11.77053625	15.56103032
153	11.7524591	15.53839537
154	11.73530733	15.51741086
155	11.71546767	15.49548198
156	11.6942582	15.47428256
157	11.67813574	15.45459531
158	11.65509008	15.41917568
159	11.63714223	15.39917049
160	11.62069828	15.37796169
161	11.60143564	15.35004356
162	11.58416227	15.33106669
163	11.56788841	15.31018241
164	11.55120011	15.28681914
165	11.53244425	15.26742829
166	11.51487983	15.24850777
167	11.49724414	15.22269157
168	11.48480193	15.20639437
169	11.4680099	15.18575649
170	11.45319027	15.16713592
171	11.43960401	15.15202633
172	11.42244938	15.13153418
173	11.4074251	15.11487276
174	11.39370153	15.09839722
175	11.37681403	15.0742117
176	11.36146963	15.05275415
177	11.3501703	15.03833529
178	11.33858648	15.02140096
179	11.32629013	15.00673763
180	11.31342553	14.98912533
181	11.30068563	14.97480588
182	11.28858028	14.96062278
183	11.27680644	14.94510036
184	11.25984035	14.92700205
185	11.24435876	14.90802363
186	11.23400842	14.89241123
187	11.22032679	14.87776451
188	11.20785766	14.86309973
189	11.19653509	14.84724442
190	11.18738632	14.83641949
191	11.17634734	14.82272809
192	11.166744	14.80905204
193	11.15827011	14.79782675
194	11.14568559	14.78450106
195	11.1354248	14.7705186
196	11.12549759	14.75800579
197	11.11570518	14.74643502
198	11.10727976	14.73482913
199	11.0985443	14.72481078
200	11.09039695	14.71395543
201	11.08029835	14.70351075
202	11.07201014	14.69333957
203	11.06286115	14.6836058
204	11.05424882	14.67144343
205	11.04133886	14.6555572
206	11.0348444	14.64712864
207	11.02152233	14.62873212
208	11.01236068	14.61830186
209	11.00749606	14.61165441
210	11.0015003	14.60431767
211	10.9929535	14.59507723
212	10.98553502	14.58681276
213	10.97675669	14.57467194
214	10.96990234	14.56694574
215	10.96290836	14.55834642
216	10.95429572	14.54842829
217	10.9481417	14.54046119
218	10.94206487	14.53297633
219	10.93573406	14.5255943
220	10.92224739	14.50751038
221	10.91285535	14.49528301
222	10.90637521	14.4877245
223	10.8944635	14.47347162
224	10.88539627	14.46138211
225	10.87928761	14.45499469
226	10.87417559	14.44915833
227	10.86772187	14.44223441
228	10.86244277	14.43478415
229	10.85371061	14.42661568
230	10.84726138	14.41919051
231	10.83984417	14.40804149
232	10.83331879	14.40122499
233	10.8287663	14.39562464
234	10.82464212	14.39063145
235	10.81966813	14.38517443
236	10.81351111	14.37796379
237	10.80806647	14.3716803
238	10.80256166	14.36457907
239	10.79715702	14.35810064
240	10.79292916	14.35277577
241	10.78780762	14.34709201
242	10.78298323	14.34171575
243	10.77887203	14.33660605
244	10.77310555	14.33112325
245	10.76862392	14.32613144
246	10.76487815	14.32176345
247	10.7595299	14.31554716
248	10.75513448	14.31033845
249	10.75126649	14.30592386
250	10.7454078	14.29968895
251	10.74085852	14.29329671
252	10.73034126	14.27792969
253	10.72684306	14.27344571
254	10.72344218	14.2689176
255	10.71977999	14.26370653
256	10.71406723	14.25774114
257	10.71078618	14.25405202
258	10.70743975	14.24951898
259	10.70414652	14.2448394
260	10.70135735	14.24115041
261	10.69832137	14.23746695
262	10.69393907	14.23235409
263	10.69105784	14.22882652
264	10.68803863	14.22513228
265	10.68466275	14.22146829
266	10.68078168	14.21645534
267	10.67367311	14.20625148
268	10.66898704	14.2005021
269	10.66596902	14.19686319
270	10.66334559	14.19369212
271	10.66105652	14.19072909
272	10.65846077	14.18719405
273	10.65424546	14.18208961
274	10.64988994	14.17611299
275	10.64755672	14.17332289
276	10.64463249	14.16940518
277	10.64130025	14.16572392
278	10.63735752	14.16046536
279	10.63476345	14.1568621
280	10.6328232	14.15421566
281	10.62970928	14.15061924
282	10.62601694	14.14650911
283	10.62385229	14.14371115
284	10.62046448	14.13991518
285	10.61731043	14.13620478
286	10.61372177	14.13241781
287	10.61136095	14.12931282
288	10.61052479	14.12821718
289	10.60878417	14.12567242
290	10.6067576	14.12376646
291	10.60421431	14.12083875
292	10.60165009	14.11834722
293	10.60011275	14.11682149
294	10.59787115	14.11447582
295	10.59562349	14.11210729
296	10.59217487	14.10831714
297	10.59069994	14.1064462
298	10.58742055	14.10271576
299	10.58485951	14.10008057
300	10.58182618	14.09654604
301	10.5800874	14.09458611
302	10.57811223	14.09179804
303	10.57241377	14.08539872
304	10.57019225	14.08275818
305	10.56835523	14.08053001
306	10.56676376	14.07866504
307	10.56417815	14.07605816
308	10.56167053	14.07336744
309	10.56084116	14.07232342
310	10.55984775	14.07109195
311	10.55861207	14.06972623
312	10.55704135	14.06809957
313	10.55554896	14.0661791
314	10.55486681	14.06532201
315	10.5534901	14.06367719
316	10.5517818	14.06153173
317	10.55022938	14.05966201
318	10.54913724	14.05838235
319	10.54717571	14.05585229
320	10.54496659	14.0536646
321	10.54135005	14.05044398
322	10.54033779	14.04924227
323	10.53861795	14.04719477
324	10.53770094	14.04639993
325	10.53671433	14.04540352
326	10.53534513	14.04429196
327	10.53330868	14.04167844
328	10.5320286	14.04003962
329	10.53131254	14.03908139
330	10.52924132	14.03716068
331	10.52823081	14.03623805
332	10.52679222	14.03461438
333	10.52325445	14.03149545
334	10.52068312	14.02826911
335	10.51959726	14.02684703
336	10.51799955	14.02470068
337	10.51685867	14.02333378
338	10.51619057	14.02274648
339	10.51402024	14.01965295
340	10.51347861	14.01865873
341	10.51165319	14.01636211
342	10.51068243	14.01548054
343	10.50987187	14.01449305
344	10.50771124	14.01214644
345	10.50703464	14.01127229
346	10.50650043	14.01071271
347	10.50596861	14.01006848
348	10.50545153	14.00931818
349	10.50478845	14.0084327
350	10.50408291	14.00748073
351	10.50231546	14.00554004
352	10.50146649	14.00472293
353	10.50017976	14.00294915
354	10.49919332	14.0017222
355	10.49842212	14.00098546
356	10.49665734	13.99922593
357	10.49607484	13.99840417
358	10.49456142	13.99675171
359	10.49328217	13.99552418
360	10.49244681	13.99433409
361	10.4919213	13.99363339
362	10.49129095	13.9929605
363	10.49013622	13.99152984
364	10.48942567	13.99078797
365	10.48849539	13.98996416
366	10.48708888	13.98791215
367	10.48596238	13.98669209
368	10.48473268	13.98528864
369	10.48359375	13.98399909
370	10.48106267	13.98093938
371	10.48043572	13.98019738
372	10.47970807	13.97935645
373	10.47884351	13.97823484
374	10.47762546	13.97699292
375	10.47654412	13.9757381
376	10.47589237	13.97492171
377	10.47513698	13.97385503
378	10.47431382	13.97276798
379	10.47344286	13.97149515
380	10.472884	13.97069643
381	10.47200028	13.96967659
382	10.47117392	13.96847467
383	10.46925283	13.96651845
384	10.46841891	13.96578267
385	10.46791111	13.96529618
386	10.46708242	13.96413902
387	10.46644918	13.96347004
388	10.46580798	13.96276168
389	10.46566655	13.96248498
390	10.46512423	13.96202308
391	10.46493252	13.96176572
392	10.46460586	13.96123545
393	10.46397997	13.9602635
394	10.46341063	13.95964047
395	10.46242157	13.95838854
396	10.46226176	13.95807175
397	10.46172457	13.95738421
398	10.46115583	13.95668143
399	10.46071273	13.95613624
400	10.45986685	13.9549742
401	10.45963029	13.95462114
402	10.45916559	13.95401139
403	10.45859872	13.95342123
404	10.45794219	13.95291186
405	10.45764609	13.9525603
406	10.45687063	13.95125123
407	10.45498141	13.94902291
408	10.45413684	13.94791836
409	10.45344492	13.94726105
410	10.45322539	13.94705386
411	10.4519957	13.94568976
412	10.45128904	13.94451881
413	10.45062909	13.94370618
414	10.44993623	13.94290714
415	10.44954842	13.94245786
416	10.44828587	13.94119011
417	10.44769353	13.94052417
418	10.44718243	13.9398565
419	10.44681357	13.93928715
420	10.44608663	13.93824648
421	10.44563097	13.93774755
422	10.44507822	13.93715965
423	10.44482336	13.93683092
424	10.44449082	13.93644848
425	10.44361783	13.93575219
426	10.44286967	13.93477847
427	10.44232905	13.93415914
428	10.44190255	13.93367424
429	10.43976274	13.93120806
430	10.43931849	13.93057634
431	10.43880715	13.92990534
432	10.43832656	13.92922152
433	10.43789339	13.92874372
434	10.4368827	13.92773834
435	10.43643747	13.92710954
436	10.43454203	13.92510245
437	10.43412504	13.92435791
438	10.43325775	13.9231823
439	10.43303022	13.92286039
440	10.43284194	13.92254305
441	10.43241935	13.92208674
442	10.431664	13.92104135
443	10.43081768	13.91988418
444	10.43010538	13.91917339
445	10.42921687	13.91810326
446	10.42786672	13.91636144
447	10.42721216	13.91548452
448	10.42668832	13.91474211
449	10.4256902	13.91353333
450	10.42523868	13.91295366
451	10.42454568	13.91232137
452	10.42437674	13.91210469
453	10.42309065	13.91074173
454	10.42265209	13.90999394
455	10.42193879	13.90894504
456	10.42152788	13.90861244
457	10.42098097	13.90787696
458	10.42082217	13.90766894
459	10.4187958	13.90582113
460	10.41758395	13.90439475
461	10.41668254	13.90332636
462	10.4161352	13.90262844
463	10.41590485	13.90240235
464	10.41557604	13.90206618
465	10.41348945	13.89974902
466	10.41241702	13.89882855
467	10.41179866	13.89805553
468	10.40982235	13.89632888
469	10.40966232	13.89616138
470	10.40910062	13.89562428
471	10.40853901	13.89505125
472	10.40786636	13.89440933
473	10.40715819	13.89358401
474	10.40651554	13.89286748
475	10.40631129	13.8924825
476	10.40609405	13.8920228
477	10.40544897	13.89132674
478	10.40492503	13.89066327
479	10.40490705	13.89064215
480	10.40478781	13.89045342
481	10.40459728	13.8902937
482	10.40439289	13.89009557
483	10.40291655	13.88832906
484	10.40256396	13.88805412
485	10.40225002	13.8877831
486	10.40159812	13.88718441
487	10.40117486	13.88688975
488	10.40048351	13.88613758
489	10.39994637	13.88531847
490	10.39982804	13.88514943
491	10.39954046	13.88488043
492	10.3993224	13.88465057
493	10.39891911	13.88421752
494	10.39825975	13.88329532
495	10.39802836	13.8828613
496	10.39723922	13.88180706
497	10.39616859	13.8803634
498	10.39599666	13.88010876
499	10.39528997	13.8791965
500	10.39334435	13.87682127
501	10.3928115	13.87616955
502	10.39259811	13.8757685
503	10.39235421	13.87534741
504	10.39188469	13.87475945
505	10.39165977	13.87449741
506	10.39072429	13.8734351
507	10.39034725	13.87283876
508	10.38983554	13.87216375
509	10.38909265	13.8711972
510	10.38837735	13.87038867
511	10.38594221	13.86708901
512	10.38578261	13.86679801
513	10.38535603	13.86620931
514	10.38498907	13.86565733
515	10.38481365	13.86536727
516	10.38454659	13.86509642
517	10.38404172	13.86422998
518	10.38394126	13.86409013
