iter	Passed	Remaining
0	36	43943
1	73	43843
2	110	43935
3	143	42842
4	176	42183
5	211	42019
6	245	41770
7	280	41796
8	315	41697
9	348	41467
10	382	41303
11	416	41194
12	449	41010
13	483	40932
14	516	40786
15	549	40682
16	582	40534
17	615	40410
18	648	40278
19	683	40315
20	726	40787
21	797	42724
22	861	44081
23	904	44306
24	940	44207
25	975	44068
26	1012	43993
27	1047	43832
28	1081	43690
29	1117	43582
30	1153	43492
31	1188	43379
32	1222	43238
33	1257	43120
34	1292	43009
35	1327	42919
36	1363	42866
37	1397	42732
38	1430	42588
39	1464	42467
40	1497	42322
41	1529	42156
42	1562	42051
43	1596	41937
44	1630	41840
45	1663	41734
46	1697	41641
47	1732	41585
48	1797	42219
49	1863	42856
50	1910	43035
51	1948	43009
52	1985	42958
53	2021	42896
54	2067	43036
55	2108	43068
56	2145	43016
57	2182	42965
58	2219	42931
59	2258	42917
60	2293	42824
61	2327	42726
62	2362	42639
63	2396	42536
64	2431	42458
65	2466	42374
66	2502	42321
67	2544	42356
68	2579	42273
69	2613	42195
70	2649	42123
71	2683	42043
72	2718	41961
73	2752	41878
74	2792	41883
75	2851	42178
76	2916	42537
77	2981	42880
78	3036	43083
79	3080	43121
80	3122	43131
81	3155	43019
82	3187	42892
83	3220	42786
84	3252	42660
85	3283	42537
86	3315	42409
87	3346	42282
88	3378	42174
89	3411	42070
90	3442	41953
91	3474	41846
92	3506	41743
93	3543	41689
94	3576	41600
95	3609	41504
96	3640	41398
97	3673	41304
98	3709	41250
99	3770	41472
100	3822	41594
101	3863	41589
102	3906	41601
103	3942	41546
104	3978	41493
105	4014	41428
106	4050	41373
107	4085	41306
108	4121	41247
109	4156	41188
110	4193	41144
111	4228	41080
112	4265	41031
113	4301	40974
114	4337	40919
115	4373	40867
116	4407	40798
117	4441	40726
118	4475	40658
119	4509	40589
120	4543	40520
121	4578	40452
122	4612	40390
123	4647	40328
124	4681	40258
125	4714	40187
126	4750	40137
127	4785	40076
128	4819	40016
129	4854	39958
130	4888	39892
131	4923	39833
132	4959	39788
133	4992	39717
134	5026	39654
135	5061	39598
136	5095	39534
137	5129	39472
138	5163	39409
139	5197	39351
140	5231	39290
141	5265	39232
142	5300	39177
143	5334	39116
144	5368	39063
145	5403	39006
146	5436	38943
147	5471	38890
148	5505	38834
149	5539	38778
150	5573	38717
151	5608	38669
152	5643	38616
153	5677	38560
154	5710	38497
155	5743	38439
156	5777	38381
157	5811	38327
158	5847	38283
159	5881	38227
160	5915	38172
161	5950	38129
162	5985	38079
163	6030	38095
164	6067	38062
165	6104	38027
166	6138	37969
167	6172	37918
168	6206	37863
169	6240	37808
170	6274	37754
171	6308	37706
172	6343	37655
173	6377	37607
174	6418	37592
175	6453	37545
176	6487	37495
177	6521	37442
178	6555	37392
179	6588	37335
180	6621	37276
181	6654	37219
182	6687	37164
183	6720	37108
184	6754	37060
185	6788	37008
186	6822	36957
187	6856	36906
188	6890	36860
189	6925	36816
190	6959	36765
191	6993	36717
192	7026	36663
193	7061	36618
194	7095	36569
195	7128	36516
196	7163	36471
197	7197	36422
198	7232	36380
199	7267	36335
200	7301	36290
201	7335	36244
202	7369	36194
203	7405	36154
204	7438	36106
205	7473	36061
206	7508	36019
207	7542	35972
208	7576	35923
209	7610	35877
210	7648	35848
211	7690	35842
212	7753	35926
213	7816	36013
214	7874	36078
215	7937	36161
216	7975	36128
217	8016	36111
218	8051	36066
219	8085	36019
220	8119	35966
221	8152	35915
222	8185	35864
223	8219	35812
224	8252	35762
225	8287	35714
226	8321	35668
227	8355	35621
228	8389	35571
229	8432	35563
230	8466	35516
231	8500	35469
232	8534	35420
233	8566	35365
234	8600	35317
235	8634	35268
236	8669	35224
237	8703	35181
238	8737	35132
239	8771	35087
240	8806	35042
241	8849	35031
242	8884	34989
243	8918	34942
244	8957	34915
245	8993	34877
246	9040	34882
247	9085	34876
248	9143	34920
249	9203	34972
250	9267	35039
251	9330	35100
252	9395	35168
253	9456	35218
254	9528	35312
255	9591	35369
256	9657	35434
257	9727	35517
258	9792	35576
259	9853	35623
260	9925	35710
261	9987	35755
262	10048	35799
263	10123	35893
264	10183	35930
265	10249	35987
