iter	Passed	Remaining
0	467	467399
1	880	439389
2	1309	435297
3	1730	430863
4	2138	425587
5	2550	422493
6	2989	424112
7	3437	426268
8	3881	427367
9	4297	425455
10	4708	423368
11	5121	421699
12	5530	419891
13	5942	418530
14	6352	417147
15	6769	416304
16	7177	415008
17	7588	413985
18	7994	412781
19	8409	412045
20	8831	411712
21	9420	418768
22	10135	430521
23	10550	429035
24	10981	428279
25	11406	427316
26	11835	426503
27	12256	425474
28	12685	424752
29	13105	423736
30	13507	422219
31	13935	421562
32	14346	420406
33	14776	419812
34	15196	418985
35	15605	417873
36	16029	417209
37	16440	416200
38	16955	417802
39	17369	416858
40	17788	416066
41	18218	415548
42	18663	415360
43	19075	414456
44	19492	413679
45	19948	413704
46	20376	413162
47	20819	412919
48	21263	412684
