iter	MAE	RMSE
0	36.69267072	45.07923339
1	35.88654964	44.1588721
2	35.18325749	43.37394026
3	34.5387677	42.62638167
4	33.89975248	41.87742215
5	33.24023919	41.12046223
6	32.62574921	40.39941339
7	31.97909545	39.67117482
8	31.37216924	38.97708772
9	30.80000805	38.31379871
10	30.29265116	37.72837346
11	29.76127214	37.1039946
12	29.31810112	36.59226676
13	28.84084626	36.06801901
14	28.33875119	35.50607112
15	27.99420928	35.11259473
16	27.55247541	34.5800978
17	27.1602528	34.10783391
18	26.7540878	33.63051314
19	26.3907617	33.19843535
20	26.06208485	32.81802245
21	25.66835125	32.34317809
22	25.3207877	31.93607517
23	25.06970139	31.60616293
24	24.67871646	31.14977249
25	24.31550803	30.73096619
26	24.01047875	30.36386539
27	23.70005586	29.98179963
28	23.41062938	29.61875599
29	23.14490716	29.30550532
30	22.85010133	28.95872049
31	22.62293724	28.69927114
32	22.27530714	28.26596097
33	22.02115239	27.96970557
34	21.74738864	27.6312761
35	21.52940456	27.36954309
36	21.30598951	27.0954854
37	21.07249332	26.79648602
38	20.83726948	26.50030098
39	20.65207772	26.25081537
40	20.46377414	26.02824189
41	20.27442944	25.80021497
42	20.11685341	25.61581478
43	19.89292269	25.33540437
44	19.72914027	25.12365441
45	19.51675478	24.86328579
46	19.30198833	24.60078322
47	19.10296525	24.35150966
48	18.91126334	24.11231982
49	18.80710092	23.96977044
50	18.67712709	23.80633327
51	18.52742301	23.63501617
52	18.3403963	23.41375492
53	18.2152355	23.24963938
54	18.08555071	23.10155494
55	17.91012955	22.88724494
56	17.73728194	22.67946129
57	17.55273189	22.45136013
58	17.39026657	22.25183693
59	17.23481232	22.06246168
60	17.07750902	21.8811695
61	16.91497418	21.68489782
62	16.82376813	21.58217812
63	16.72747832	21.46539659
64	16.60696636	21.32244839
65	16.48784728	21.17249986
66	16.35465093	21.00521841
67	16.26083381	20.89075791
68	16.12381591	20.72130371
69	16.05324813	20.64040787
70	15.96092366	20.53174534
71	15.86150375	20.40591009
72	15.72941432	20.24282466
73	15.61435837	20.10496842
74	15.51604842	19.99206312
75	15.42275291	19.87568638
76	15.33617663	19.76823955
77	15.21604255	19.62367543
78	15.11275518	19.49643592
79	15.01793143	19.39062108
80	14.92170136	19.27672038
81	14.84402335	19.19145048
82	14.77575506	19.10607055
83	14.69141687	19.00837018
84	14.59546907	18.89247943
85	14.50287364	18.78031791
86	14.41482755	18.67357546
87	14.32714533	18.56454767
88	14.25501687	18.47643157
